battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1626,1,0.9,0,6,1,56,0.9,193,8,15,984,1121,1956,8,15,15,1,0,0,2
1959,0,0.9,1,16,1,52,0.4,154,1,2,409,545,710,10,4,15,0,1,1,0
1360,1,2.1,0,6,0,18,0.9,128,1,10,1426,1223,1173,18,10,11,1,1,0,1
1794,1,2.4,1,3,0,37,0.8,81,7,9,1693,1039,2883,11,3,8,1,1,0,3
1630,1,1.8,0,7,0,4,0.9,146,2,15,483,586,269,8,12,13,1,0,0,0
1595,1,2.6,1,12,0,2,0.3,90,2,7,1327,1302,2401,12,7,20,1,0,0,2
1544,0,3.0,1,3,1,51,0.6,129,4,8,623,1908,534,17,6,10,1,0,1,0
621,1,2.6,1,5,1,28,0.3,114,5,14,655,764,2219,18,10,4,1,0,1,1
966,1,2.2,0,4,0,54,0.8,94,7,20,767,1545,745,14,10,5,1,1,1,1
1738,1,1.8,0,11,0,48,0.1,186,3,2,17,1202,1240,12,16,14,1,1,1,0
830,0,1.6,0,3,1,41,0.6,154,5,3,183,1973,1216,5,13,11,0,0,1,0
1982,1,0.7,0,8,1,34,0.4,110,3,12,404,731,2038,12,1,15,0,1,1,2
587,0,1.5,1,3,1,21,0.4,171,1,11,798,685,2927,14,7,7,0,0,1,1
1896,0,2.8,0,18,1,15,0.7,141,6,20,1920,825,2510,18,1,9,0,0,1,3
1623,1,2.5,1,13,1,37,0.9,107,6,8,1154,1706,2143,16,14,20,1,0,1,2
1371,1,1.0,1,4,0,6,0.6,175,7,13,478,896,2125,7,4,11,1,0,1,1
630,0,1.7,0,17,0,24,0.9,104,2,18,1816,1926,3560,9,5,6,0,1,1,3
1832,1,2.5,0,9,1,46,0.3,163,2,6,1780,1986,1852,18,16,6,0,1,0,3
1269,0,0.7,0,18,1,61,0.6,171,8,15,7,1940,2900,14,7,6,1,0,0,3
843,0,1.5,1,11,0,57,0.5,104,1,19,704,1725,2998,12,4,10,0,0,0,3
1937,1,2.6,0,17,1,16,0.1,154,1,4,1341,1588,1518,15,13,10,1,1,0,1
1305,1,1.5,1,16,0,7,0.6,162,3,9,1414,1455,505,10,9,16,0,1,0,0
885,0,0.7,0,10,0,34,0.7,171,1,17,1542,1054,1862,8,12,10,1,0,1,1
1715,0,1.9,1,2,0,56,0.6,80,8,10,1159,1232,995,8,4,15,1,1,1,1
1455,0,2.7,0,16,0,20,0.8,138,7,6,530,1540,3924,16,6,7,0,1,0,3
776,0,2.0,0,0,1,64,0.6,148,3,13,912,1296,561,8,9,9,0,1,1,0
1684,1,1.1,1,14,1,14,0.2,153,5,19,1674,1706,3790,10,10,3,1,0,0,3
959,1,1.5,0,8,0,30,0.2,121,2,17,1390,890,2062,11,2,6,0,1,1,1
1837,1,1.6,0,14,1,62,0.6,189,2,10,1512,543,2192,17,12,18,0,1,1,2
521,1,1.9,0,2,1,7,0.3,113,6,11,688,1400,2081,9,1,11,1,1,0,0
752,1,2.4,0,18,1,16,0.2,179,6,17,1034,981,3563,14,3,15,0,1,0,2
1247,0,0.7,0,12,1,17,0.5,145,8,1,552,1786,3618,18,2,19,0,1,0,2
